title,authors,orgs,source,year,volume,issue,pages,keywords,abstract,doi,cited_count,download_count,fund,classification,clc_code,url,uid
第118回日本外科学会定期学术集会肝胆胰外科进展解析 题录,"张彤1 ; 成伟2 ; 张宇华3 ; 孙健4 ; 项灿宏5 ; 张洪义5 ; 1.广州, 中山大学附属第三医院肝脏外科 肝移植中心 ; 2.长沙, 湖南省人民医院肝胆外科 ; 3.杭州, 浙江省人民医院肝胆胰微创外科 ; 4.广州, 中山大学孙逸仙纪念医院胆胰外科 ; 5.清华大学附属北京清华长庚医院肝胆胰中心",,中华消化外科杂志,2018,,,,肝肿瘤 ; 肝内胆管癌 ; 胰腺肿瘤 ; 肝移植 ; 肝切除术 ; 腹腔镜检查 ; 转化医学 ; 日本外科学会,"一年一度的日本外科学会定期学术集会是日本外科学领域历史悠久的学术盛会, 持续向外科同道传递外科学各专业最新研究成果。笔者摘选2018年第118回日本外科学会定期学术集会腹腔镜肝切除术、肝移植、肝外胆管癌、胰腺外科等方面的最新研究成果与进展作一整理和解析, 以期为肝胆胰疾病诊断与治疗方案优化提供新的信息和参考。",,,,国家科技重大专项(2012ZX10002017－003)；,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5yDgp0sXtbXTlvvBMIL67PLduJhuLqGOCqpXqJHthErwCelpqHD2VU-o7Cd8FtoCKXbhRzdwODjr_njJEIcwgnxZC4g1FA0ccHSQxQNhQ8bJ8azTqZ6sNKuiRbEmDXqwyqm68zdjeyf5qVUVlysPJBAchB_ayGV3yPRYsBOOI5yQ==&uniplatform=NZKPT&language=CHS,22838a57efb9
腹主动脉瘤腔内修复术后并发症单中心治疗经验 题录,葛红卫 ; 朱云峰 ; 朱永斌 ; 吴元兵 ; 姜云飞,,中华血管外科杂志,2018,,,,"主动脉瘤,腹 ; 腔内修复 ; 内漏 ; 并发症","目的 观察腔内修复术(EVAR)治疗腹主动脉瘤(AAA)的临床疗效,探讨其术后并发症的原因及治疗经验。方法 对2008年1月至2016年10月在常州市第一人民医院血管外科进行EVAR的70例肾下型AAA患者资料和随访情况进行分析。结果 68例患者EVAR手术技术成功,成功率97.1%,2例(2.9%)术后持续性内漏接受再次手术。术后1个月内死亡3例(4.3%)。术后发现原发性内漏10例(14.3%),其中Ⅰ型内漏8例(11.4%,Ⅰa型7例,Ⅰb型1例),Ⅱ型内漏2例(2.9%)；2例Ⅰ型内漏(Ⅰa、Ⅰb型各1例)分别于术后第3日、6个月再次手术,8例随访中自愈。继发内漏4例(5.7%),均经弹簧圈栓塞加覆膜支架治愈。发生臀肌跛行18例(25.7%),经扩血管祛聚等治疗后症状减轻。穿刺入路侧下肢缺血2例(2.9%),1例行股-股转流后症状消失,1例自动出院。随访2～66个月,平均(7.9±12.8)个月,术后1年内死亡5例(7.1%)；3年内死亡7例(17.5%)。结论 内漏致动脉瘤体增大是EVAR治疗AAA最严重的早中期并发症,尽早发现并处理其潜在的危险因素能有效提高远期生存率。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5MIilJPHxxoiRcNeC7PRZb9VUbO74eu07zkEqQ5zi4-wcPZyj8NeuARCqOKJM6VZgq5GYaK-p_0kT44IDl9kKrnGY0xaPp6xvcWXfnDv0nsVWcKhlv91LsiZeN0oF6YczNC1ODTSAZFxwTyfyf34RtDl6NlXaGh2vLAgO0h3Pm5w==&uniplatform=NZKPT&language=CHS,e1262c9e2d8c
髂静脉受压综合征腔内治疗18例临床效果分析 题录,张玉超 ; 许刚 ; 陈茂振 ; 王平,,中华血管外科杂志,2018,,,,髂静脉受压综合征 ; 腔内治疗 ; 支架,"目的 探讨髂静脉受压综合征(IVCS)的治疗方法和效果。方法 回顾性分析2016年2月至2016年12月南京医科大学附属淮安第一医院血管外科收治的18例IVCS患者的临床资料,男6例,女12例；年龄45～77岁,年龄中位数60.5岁。合并症情况：合并急性下肢深静脉血栓形成者10例,深静脉血栓形成后综合征者2例,下肢静脉曲张3例(合并溃疡2例),不明原因下肢肿胀者3例。16例采用球囊扩张及支架植入术治疗,2例仅行球囊扩张术；3例合并大隐静脉曲张者分别在术后1个月和7个月行大隐静脉曲张手术。结果 手术成功率100%。术后随访2～12个月,中位随访时间6个月,随访率100%。有2例患者分别在术后2、3个月出现支架堵塞,余患者无支架闭塞或下肢深静脉血栓复发,且下肢肿胀均有明显消退；2例合并溃疡者于支架植入1个月后溃疡愈合；无严重出血性并发症或死亡。结论 腔内治疗IVCS安全、有效,是临床首选的治疗方法。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4BLYNr6jdXrpbMlVzpvXZCrWCRcBhIAIUXKE5_dONYkF4hQfUag3F1_WljBO5RNuAqo0oX6L5O_egt8JEvCmkoZZun2p73LR_f-o1GorqJzEc6UpRo3e33N_gYSmCw7JHOZkbuEI2mTFwbnr_pv3kq9NeJn0GIK8TEl7DVMV_q5Q==&uniplatform=NZKPT&language=CHS,28f85416ece9
内覆式主动脉弓部置换术在Stanford A型主动脉夹层手术中的应用 题录,朴虎林 ; 王勇 ; 郑晓梅 ; 朱翠琳 ; 王维铁,,中华血管外科杂志,2018,,,,Stanford A型夹层 ; 手术 ; 主动脉弓修复术 ; 内覆式技术 ; 支架象鼻术,"目的 总结内覆式主动脉弓部置换术在Stanford A型主动脉夹层治疗中的效果。方法 2014年1月至2017年12月,对222例Stanford A型主动脉夹层患者行升主动脉置换+内覆式主动脉弓部置换+支架象鼻术。患者出院前行CT血管造影评估手术效果。结果 222例患者在院死亡12例(5.4%),截瘫3例(1.4%),脑卒中9例(4.1%)。平均体外循环时间(135.2±29.1)min,停循环时间(37.5±7.1)min。出院时弓部假腔闭合率为81.8%,降主动脉假腔闭合率为69.4%。结论 内覆式主动脉弓部置换术治疗Stanford A型主动脉夹层是一种简便、安全、有效的手术方法,短期随访结果良好。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4BV3AZ9PxwwK9Ua3amB9AJRHYyinZyg7-q4VVYT58AX7gi5Rwkky6ajFdHRso4BvFMVM2nRwzWYiAlBEUcycmczmVss3dk9jrRs9BHzp_yMehh24jbo4GlF9dUridaNh2IteSubcRdkL-0mWvX6e1eU5ONQx7lTKmuykqD5Fj62Q==&uniplatform=NZKPT&language=CHS,dac8253b9b95
菊与刀——谈心胸外科的中西医结合之路,王侃 ; 林宇 ; 广东省中医院心胸外科,,中国中西医结合杂志,2017,,,,心胸外科 ; 中西医结合医学 ; 发展史,"心胸外科的中西医结合看似困难,实则如文化的融合一样,心胸外科的中西医结合不仅是可能的,而且还具有广阔的发展前景。笔者从中西医结合心胸外科的发展史起,论述中西医结合医学优势、争议及困境,进而探讨中西医结合心胸外科发展方向。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5lMy_3knw25CrUvHSRilXlN7MSxMLjxyAOapz2snw16OTdeLYuIIJVV7kwa_9u-qT22gMxsUmyCnirHV2Gm354zMU593PYshvRFqt7PqOxveHfj57th3WTYZHdNbAGdLLFo23uh6T1M2S6VQwYIow8iSbYFeudIBTyJJvY7hyMpw==&uniplatform=NZKPT&language=CHS,bda9d5379a82
DR与螺旋CT诊断急诊胸腹部创伤中的临床应用价值分析,王秀波 ; 赵建明 ; 杨军舰 ; 张鑫 ; 卜祥珍 ; 山东省东营市东营区人民医院放射科,,中国CT和MRI杂志,2017,,,,DR和螺旋CT ; 急诊胸腹部创伤 ; 诊断效果 ; 应用价值,"目的探讨DR和螺旋CT在急诊胸腹部创伤中的临床诊断效果及应用价值。方法选取2011年1月到2015年3月我院收治的190例急诊胸腹部创伤患者资料进行分析,入选患者均采用DR及其CT诊断,分析患者DR及其CT影像学表现,研究DR和螺旋CT在急诊胸腹部创伤中的临床诊断效果及应用价值。结果两种诊断方法对于肺挫伤、纵隔气肿、皮下气肿、肋骨骨折、胸腔积液、气胸以及膈肌损伤诊断差异不显著(P>0.05);CT诊断方法确诊率均能够达到100%,显著高于DR诊断方法(P<0.05)。结论急诊胸腹部创伤患者诊断过程中采用螺旋CT诊断效果理想,该诊断方法具有较高的准确率,能够对创伤部位进行精确定位和评估,值得推广使用。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7LyZpMQ_fMTgnlKzZc20Cq7FSg2OKOIfhVVsgGeekCd4SudAmQK2-tumr0D78RwXIb7Vl89-FKQAfLGDUHiXO1FT3Lx1x5FOJqXu51PaeNR81U1CPtUHEqQj5GNnT_XioEleMr829D6unwfcYXryNMiFpXqUtL9se2g1puXLtkag==&uniplatform=NZKPT&language=CHS,180a70566d90
腋网综合征研究进展,李雄伟 ; 龙笑 ; 俞楠泽 ; 北京协和医院整形外科,,医学综述,2017,,,,腋网综合征 ; 乳腺癌 ; 腋窝淋巴结清扫术 ; 前哨淋巴结活检,"腋网综合征(AWS)是腋窝手术后早期并发症,属于自限性疾病。以开始于腋窝向周围扩散的皮下结节为特征,并伴有患肢的疼痛和活动受限。关于AWS的发病机制虽然尚未清楚,但其发病原因大多与腋窝手术损伤淋巴管有关,而且超声和核磁共振也支持了淋巴管起源的假说。AWS诊断主要依据体格检查,与其相关的发病因素包括手术范围、年龄、体质指数等。同时,有效的临床干预可缩短AWS的病程,改善患者的生活质量。故需要更多的研究以明确AWS的发病因素及特征,而其影响的不仅仅是患肢还有患者的心理健康,因此需要完善预防性和治疗性干预。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF415uUhNbHCGZXy-kWQPNXvtvvmQSZVK8sNOZ5rIVGJopev44qhxDE2GJynthhdgsYxeOQqfLGYgvBMDFJjBZMucKuDW5_vGkF-f-sURNsEZE5Y03zeTthzAICz6oNAgUhNZJVMRUeDg1m4KOFKvdiSnuLbaqwFS2tbNxsu-_1aDw==&uniplatform=NZKPT&language=CHS,327ad36b1f68
肥胖与代谢病外科围手术期管理的思考,王存川 ; 张俊昌 ; 黄上嘉 ; 暨南大学附属第一医院肥胖与代谢病外科,,中华普通外科学文献(电子版),2017,,,,,"<正>肥胖与代谢病外科(obesity and metabolic disease surgery)是指通过精确的诊断及评估,应用手术干预的方式治疗肥胖症及其相关的代谢性疾病的一门新兴学科[1]。近十几年随着经济的快速发展、国民生活水平的提高,肥胖症及其引发的相关代谢性疾病的发病率快速提高,对人类的健康和生命造成严重影响,已是当前全球严峻的公共卫生问题[2-3]。目前,与传统的非手术治疗措施相比,手术干预方式治疗肥胖症取得的减重效果显著,同时",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7R4tWOxYjC6PlkxTi14HZmOq3OhrPjnQlbLvki0Tp3CNTZd-BDHwKe8jMv0-mK4zxG7ij3QBXQcHXbaiQznIhoNBK05JGG7mdtwaz9BVnkwcq4GFOh08he5A2AjV9H8Si0T0KcbBjPdIjcyawLQI0w3wtGI2zPEB4NN3HLx7aFow==&uniplatform=NZKPT&language=CHS,a192eb75ed9c
全麻下双导丝逐级引导Y型气道支架置入术治疗复杂气道病变,李智 ; 李炜 ; 邹建伟 ; 沈健 ; 杨俊 ; 朱晓黎 ; 倪才方 ; 苏州大学附属第一医院介入科,,广东医学,2017,,,,气道支架 ; Y型 ; 隆突 ; 气道病变,"目的探讨全麻下双导丝逐级引导Y型气道支架置入术的方法和临床效果。方法回顾性分析接受气道一体式Y型支架置入术的12例患者的临床资料。全麻下采用双导丝逐级引导技术置入支架。以技术成功率、气道阻断时间评价新的置入方法的效果。以临床有效率、并发症评价Y型支架置入术的临床效果。结果12例患者皆采用双导丝逐级引导技术置入支架,技术成功率100%,气道阻断时间203～479 s,平均(295±86)s。10例狭窄性病变症状明显缓解,2例瘘病变中的1例症状缓解,临床有效率为91.7%(11/12)。并发症包括:气道出血(1例)、再狭窄(1例)、排痰困难(5例)、痰堵窒息(1例)。结论一体式Y型支架可有效治疗累及隆突区域的复杂气道病变。在全麻下采用双导丝逐级引导技术可准确、迅速地置入一体式Y型气道支架。",10.13820/j.cnki.gdyx.2017.01.011,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7feVTp611b8javAKfK-KtrDsC0KbyEKL7fgaZW5D9ookZ2MbBVKKRGolIludQgyrtVJFDz-H7pFcNeqBympmlpIYc0_hP63Vzu9DuEg4zZcwz52oIPfuTRNOsBE2HRMEEywqOYBwrbTgvJ-I7M6mvw_MxqtAf6q5RPc4gI3eWebw==&uniplatform=NZKPT&language=CHS,911cce2da0d3
多层螺旋CT诊断急性胸腹部创伤的临床价值分析,牛智祥 ; 义马煤业集团股份有限公司总医院,,当代医学,2017,,,,多层螺旋CT诊断 ; 急性胸腹部创伤 ; 临床价值,"目的探讨多层螺旋CT诊断急性胸腹部创伤的临床价值。方法随机选取96例急性胸腹部创伤的患者,对所有患者分别采用X射线进行诊断和多层螺旋CT进行诊断,观察比较两种诊断结果与病理分析结果的符合率。结果采用多层螺旋CT进行诊断结果与病理的符合率为100.00%,采用X射线进行诊断结果与病理的符合率为89.50%,两种诊断结果与病理结果的符合率比较差异具有统计学意义(P<0.05)。结论采用多层螺旋CT诊断急性胸腹部创伤结果与病理结果完全符合,对多脏器损伤的胸腹部创伤患者具有极其重要的临床诊断价值。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5J2g_k664EaSOxU-BhJVW1sv-EGqZnVylyHvAi88eKiAuiUC-G-J8tH7VZ6tcfZYJVmMuZp5us6WBAcy0o9VqbRnLuXwezRSqaV4sLkwOGVQnoacomuqbxLVb2ZUGCNCjwbuSrg4C8Vu1AgbmRARkRXY6hcF0E2_s9fW19bHNdjg==&uniplatform=NZKPT&language=CHS,d2ca091ceb22
肝脾外伤破裂的CT分析,蒿延海 ; 魏县人民医院普外二科,,人人健康,2017,,,,肝脾外伤破裂 ; CT,"目的:研究分析肝脾外伤破裂的CT诊断及其临床意义。方法:将自2015年1月至2016年6月在我院进行救治的37例腹部肝脾外伤破裂患者为研究对象,对患者采用CT方法进行检查诊断,并对评价指标内容进行统计分析。结果:37例患者采用CT检查与治疗诊断结果完全一致,准确率达100%。结论:对肝脾外伤破裂患者采用CT检查具有极高的临床诊断应用价值,具有极高的诊断准确率,为患者的进一步治疗提供准确的检查资料。",10.20252/j.cnki.rrjk.2017.01.245,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF43gmFG-SoYG42Xh45_czKvPF92bHgPshjEXsyQ0L1jGVXUaLc3D6-uLkP4QiQqPo4jQPtD9G5GyM8M-8RtEsjxBwaMMU4o9DfmvcOfampuKT8Z3uxgTrNQQJc1n2DMODNfyoDcsC-htYEHdF34hAJD3d0ZdtZFoTiDZIpBLJqahA==&uniplatform=NZKPT&language=CHS,e53229a3fa61
急诊胸腹创伤应用数字放射摄影技术与CT诊断效果对比,袁建军 ; 蒋树兵 ; 刘宝良 ; 广东省深圳市龙岗区第三人民医院放射科,,中国医学工程,2017,,,,急性胸腹创伤 ; DR检查 ; CT检查 ; 诊断效果,"目的探讨急诊胸腹创伤中应用数字放射摄影技术(DR)与计算机断层扫描(CT)诊断的效果。方法将2014年9月‐2015年12月在该院急诊胸腹创伤的120例患者均给予DR和CT检查。比较两种方法的诊断符合率。结果CT检查在心包积液、肾脏损伤、胰腺损伤、肺不张、肺挫伤、肺塌陷、肺撕裂伤、腹腔积血、血胸、脾脏损伤及纵膈损伤方面的诊断符合率明显优于DR检查,差异有统计学意义(P<0.05),但在皮下气肿、胸椎骨折、胸腔积液、锁骨骨折及肋骨骨折方面诊断符合率差异无统计学意义(P>0.05)。结论 CT检查在胸腹创伤中,具有较高的准确度和灵敏度,弥补了DR技术由于组织重叠造成影像不清晰的弊端。但DR检查具有简单、价格低廉等优势,可以在胸腹创伤早期筛选中予以应用,将这两种技术联合应用则可达到最优诊断及治疗效果。",10.19338/j.issn.1672-2019.2016.12.041,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6DVxgTFaFv8ftRUbZ9q98oMBE_gthnmqbKSg3YvKlmT5u6J8q8qQlYyQ-3NKG3MnWwo-qWKp4X_1v6diLlBYxPNbJ5b-9ro-y0rtfJx1SoJtVrRo65gcbbSR25XlJ6koGv7f-enFgUDJyFLg9pvrXEkFwIu_PVHHjAJCXNSWSGWw==&uniplatform=NZKPT&language=CHS,7a6a3c5d30a8
胸部弥漫性彗星尾征与腹部脏器早期损伤的实验研究,丁奕文1 ; 张丹1 ; 李燕东2 ; 翟林1 ; 孟焱1 ; 闫丹丹1 ; 张岚1 ; 1.首都医科大学附属复兴医院超声影像科 ; 2.首都医科大学附属复兴医院超声影像科病理实验室,,中华医学超声杂志(电子版),2017,,,,肺超声 ; 弥漫性彗星尾征 ; 瀑布征 ; 腹部脏器 ; 损伤,"目的建立油酸型动物模型,研究急性呼吸窘迫综合征(ARDS)胸部弥漫性彗星尾征与腹部脏器早期损伤的相关性。方法健康日本大耳白兔21只,雌性,将实验动物分为实验组(11只)与对照组(10只),制模前留取全部实验动物的肺、肝、肾声像图,随即处死对照组实验兔。实验组制备油酸型胸部弥漫性彗星尾征动物模型,制模成功的标准为胸部声像图表现为至少一个肺区出现不同程度的弥漫性彗星尾征。制模成功后留取肺、肝、肾脏超声声像图,处死实验兔。解剖2组实验兔,取出肺、肝、肾、脾脏,制备组织切片。观察、记录2组实验兔各脏器的大体观及镜下组织学改变。根据胸部声像图表现记录超声评分:短小彗星尾征为1分,孤立彗星尾征2分,轻度弥漫性彗星尾征3分,中度弥漫性彗星尾征4分,瀑布征(重度弥漫性彗星尾征)5分。采用两独立样本非参数检验中的曼-惠特尼秩和检验,检验肝脏病理损伤阳性实验兔与阴性实验兔的肺超声评分是否存在显著差异;采用Pearson相关性检验,对肝脏病理损伤阳性组的损伤面积百分比与超声评分进行相关性分析。根据脏器镜下病理损伤面积百分比评估脏器的损伤程度,比较胸部弥漫性彗星尾征与腹部脏器损伤的相关性。结果实验组胸部弥漫性...",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF49odI2F0wUv4vYuStmzEpqSB4PmPBT1Iq-ZfFk-f7-rM4RxIgoQttdMZxCVDhU51zJQTmNeX8v7hbFKW83l2alSR1guWlY2xMR0vVrrh3b7JMB2SBPKVvtgKJNsBRit1gknDFT9683R861Bc9Ri7KTRPPp4mL1LwDL7APgHzvEkg==&uniplatform=NZKPT&language=CHS,be592f2a65b4
改良吻合口包埋右房分流技术在Stanford A型主动脉夹层术中的应用 题录,"张春鹏1 ; 王勇2 ; 张东2 ; 1.长春, 吉林省长春市吉林大学第二医院心内科 ; 2.长春, 吉林省长春市吉林大学第二医院心脏外科",,中华血管外科杂志,2016,,,,主动脉夹层 ; 孙氏手术 ; 止血 ; 分流技术,"目的总结人工血管吻合口包埋行右房分流技术在治疗Stanford A型主动脉夹层手术中止血的外科治疗经验及其有效性。方法回顾性分析吉林大学第一医院2013年8月至2014年8月期间37例确诊为Stanford A型主动脉夹层手术的患者资料, 术中均应用改良吻合口包埋右房分流技术, 观察术中术后出血情况和术后早期转归。结果全组患者无吻合口出血并发症, 术中死亡1例, 30天内死亡7例, 29例痊愈出院, 随访4～12个月, 分流腔全部血栓化, 无持续性残余分流及神经系统并发症发生。结论改良人工血管外吻合口包埋右房分流技术能够安全有效地解决Stanford A型主动脉夹层手术中的出血问题, 值得在临床推广应用。",,,,,,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6UrEMQRiIrCOVfddXqgv6DDFzycO2CXg8KIfgpUY8DGlvIb2MEZ2JE-qxGoFx3BJVFOYaZWMmZ-8qnlYcZtp7-vfq3hyEVPOdmnE0iPl7V6mqfohxCSEyHZHXNMzV7QelV-1vJPUiz8_BgizGrj49EW8t2U42Gzm6Io1g5bJSHhA==&uniplatform=NZKPT&language=CHS,e38270dd35b6
3D打印技术在胸心外科学中的研究进展 题录,单一波 ; 王尧 ; 史宏灿 ; 扬州大学临床医学院胸心外科 江苏省中西医结合老年病防治重点实验室 扬州大学转化医学中心,,中华胸心血管外科杂志,2016,,,,,"3D打印技术是目前制造业领域正在迅速发展的一项新兴技术, 特别是用于医疗卫生行业的生物3D打印技术, 在临床和医学科研方面的应用受到了医学界的广泛关注。3D打印技术仿生制造的器官、组织具有较好的生物力学特性和较高的细胞相容性, 弥补了组织工程的缺点与不足。本文概述了近年来3D打印技术的发展及其在胸心外科学尤其在气管、食管和心脏瓣膜的构建中的应用和前景。",,,,"国家自然科学基金(面上项目81170014, 81370118)；",,R65,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6UrEMQRiIrCOVfddXqgv6DDFzycO2CXg_8iSw8GjsiUKg95f9fFBuIONSwuuB0hHcUOQz1RllsJuRy9rzyCC8FB0JIHtq0yhLrpLag5l22HyVFu133tNncD7SF3uo4c_CWJDBz_5Iaj4RhAYI0wdjPSuu2HKtysgnF72qfxQMJBw==&uniplatform=NZKPT&language=CHS,343f80405cee
新型R1234ze(E)与烷烃基喷雾剂用于急性软组织损伤冷疗镇痛效果的对比研究,"胡羽生1,2 ; 韩新坤1 ; 徐鹤鸣1,2 ; 付海涛1 ; 戚超1 ; 1.青岛大学附属医院运动医学科 ; 2.青岛大学青岛医学院",,精准医学杂志,2026,,,,运动损伤 ; 软组织损伤 ; 烷烃类 ; 烯烃类 ; 喷雾剂 ; 冷疗法 ; 镇痛 ; 计算机模拟 ; 大鼠,"目的 比较反式-1,3,3,3-四氟丙烯[R1234ze(E)]与传统烷烃基喷雾剂对急性软组织损伤的冷疗镇痛效果。方法 采用ANSYS Fluent软件构建烷烃基及R1234ze(E)喷雾剂冷疗数值模拟模型,对比两种喷雾剂的冷却性能。将20只SD大鼠随机分为对照组、无冷疗组、烷烃基冷疗组和R1234ze(E)冷疗组,每组5只;除对照组外,其余组均构建SD大鼠腓肠肌撞击伤模型,随后两个冷疗组分别使用烷烃基和R1234ze(E)喷雾剂冷疗,对照组与无冷疗组不做处理。采用免疫组化染色法与蛋白免疫印迹(WB)实验检测四组大鼠腓肠肌组织中疼痛相关P物质(SP)蛋白表达水平。结果 数值模拟模型结果显示,R1234ze(E)喷雾剂沿喷嘴轴向向前100 mm半径范围内分布的液滴温度均低于烷烃基喷雾剂;相较于烷烃基喷雾剂,R1234ze(E)喷雾剂使深度2、4 mm肌肉组织的温度降幅均更高;喷雾冷疗20 s时,R1234ze(E)喷雾剂的冷却效果在深度为2～6 mm的肌肉组织内均优于烷烃基喷雾剂。免疫组化染色结果显示,两冷疗组大鼠腓肠肌组织SP蛋白阳性表达均少于无冷疗组及对照组,R1234ze(E)冷疗...",10.13362/j.jpmed.202641098,,,国家自然科学基金资助项目(82102558)；,,R68,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4k7ckWzaU2DRvCef8j92A2WpWmq_wEkZq6gBioz12H4Crx3rRWzU2a10L7ArQ9HXQYmjmK8Yc8TAzHUxlV4Xqur9VnNqT9FJC41rXVTvlYWiBlIB8fszYO71SiM7es8-HD1JWfdvf6kMGN4gcvnf9hZbJTjk2wIPo-LJ8LvbNDgg==&uniplatform=NZKPT&language=CHS,84fdf28981e7
1 MHz脉冲超声对骨陷窝-小管系统传质效果影响作用的研究,"吕林蔚1,2 ; 王义超1,2 ; 艾芳芳3 ; 张行1,2 ; 张春秋1,2 ; 1.天津理工大学天津市先进机电系统设计与智能控制重点实验室 ; 2.天津理工大学机电工程国家级实验教学示范中心 ; 3.嘉思特医疗器材(天津)股份有限公司天津市骨植入物界面功能化与个性研究企业重点实验室",,天津理工大学学报,2026,,,,低强度脉冲超声 ; 骨质疏松 ; 骨陷窝-骨小管系统 ; 骨传质 ; 有限元分析,本研究旨在探究低强度脉冲超声（low-intensity pulsed ultrasound，LIPUS）对骨陷窝-骨小管系统（lacunar-canalicular system，LCS）传质的微观影响机制，以及不同超声强度对该系统物质运输效率的调控规律。为此，取新鲜猪股骨样本，施加梯度强度(20、30、45 mW/cm2)的LIPUS进行实验，同时利用SolidWorks构建三维骨单位模型，并通过COMSOL Multiphysics开展1 MHz频率下0-45 mW/cm2强度范围的传质仿真分析，固定粒子释放时间与总数以控制变量。实验与仿真结果均显示，LCS传质效率随LIPUS强度增加显著提升，其中45 mW/cm2时效果最优；仿真进一步揭示，该强度下中层骨陷窝内粒子数量减少，迁出速率提升超过300%，证实高强度LIPUS可通过加速粒子迁出来优化LCS传质功能。,,,,天津市自然科学基金（21JCYBJC00910）；,,R68,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5MvFoRbzNRwLb9NZ4AwgVRYAyFxNUoaqAQY3P2224mmi-6a8xY_KtLzc-jSRNabB7wEEe_f6QlicBCUn3I9T-rfsj6GdfyqKqcd6ARaqbXdBDggqwrk2VfVxlIqeEEX5RSktaXnq9PrvIbLqFobXUzWLstN7QmN4q2sldV81TLMA==&uniplatform=NZKPT&language=CHS,d57539b870c6
每一次“反常规”，都在重新定义新可能,吴朝香 ; 李敖同 ; 李文芳 ; 张冰清,,钱江晚报,2026,,,,,,10.48995/n.cnki.nqjwb.2026.001580,,,,,R68,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7nlPF5vIwQYBQMdOv1vovtxvTILwROFvMziyoIWIH80QI8kIdKj8jUsm3VfEojlTCm2KGfscZSV5hZAPZiicniHKmfaCoditj2Yvg3l9DhL3GGqWcTjo4wK7QQJBBJPkkNlXhse0__oc0BOusnok29wLpP3febtrHKCCzbhN_7iDNHPMZqPjyy&uniplatform=NZKPT&language=CHS,39b409e7f79b
Restoration of circadian rhythm as novel targets against sarcopenia 题录,"Wang Tiantian1 ; Hong Zhen1,2,3 ; 1.Department of Neurology, Institute of Neurology, West China Hospital of Sichuan University, Chengdu, Sichuan, China ; 2.Institute of Brain Science and Brain-inspired Technology of West China Hospital, Sichuan University, Chengdu, Sichuan, China ; 3.Department of Neurology, Chengdu Shangjin Nanfu Hospital, Chengdu, Sichuan, China",,中华医学杂志英文版,2026,,,,Sarcopenia ; Circadian rhythm ; Chronic inflammation ; Aging ; Mitochondrial function ; Insulin resistance ; Clock genes,"Sarcopenia, characterized by the age-related decline in skeletal muscle mass, strength, and function, is associated with high healthcare costs and significant health risks, including falls, fractures, functional decline, and mortality. Despite its prevalence and extensive research, there are currently no Food and Drug Administration (FDA)-approved drugs to modify its course, likely due to an incomplete understanding of its underlying mechanisms. Recent evidence highlights two key factors in sarc...",,,,"National Natural Science Foundation(Nos. 82102656, 82402974, 82501628, and U21A20393)；",,R68,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5JoBGLmUn86jm4KsSVPBEYTBUi5KWAf3wzyazHkWzH9V3ZTAvF93cE6w6FhReIQrTHvXJTCQuQ8XFMs5ZoS5ThT77zJv2pXKpkqLknintwHRk5mNby8zPPmolshr3sLbJhrDArJxN34yTaL91rbuFhnqf8AG3ahleQIUYp5tHoNw==&uniplatform=NZKPT&language=CHS,374f469d0b8f
